Time,x,y,z
4.69,2.8072866023224388e-11,2.752165970364926e-11,5.7057909176126207e-11
4.691,-2.7948967320566656e-11,-2.7645481784742213e-11,5.662405305842692e-11
4.692,2.80728663162761e-11,2.7521659574268027e-11,5.705790739976937e-11
4.697,-2.794896735957383e-11,-2.764548174320296e-11,5.6624053100060285e-11
4.697,2.807286618685568e-11,2.7521659679143853e-11,5.7057910952483046e-11
4.697,-2.7948967371537655e-11,-2.7645481805059035e-11,5.6624053100060285e-11
4.697,2.8072866134753434e-11,2.7521659707960034e-11,5.705790744140273e-11
4.697,-2.7948967194665192e-11,-2.7645481751985215e-11,5.662405483478376e-11
4.697,2.8072866108021568e-11,2.752165967545654e-11,5.7057909176126207e-11
4.698,-2.794896723191802e-11,-2.7645481848811177e-11,5.662405314169365e-11
4.699,2.8072866138997026e-11,2.752165950588573e-11,5.705791091084968e-11
4.7010000000000005,-2.7948967255056407e-11,-2.7645481843905712e-11,5.6624053100060285e-11
4.702,2.80728660972737e-11,2.7521659762425044e-11,5.7057909176126207e-11
4.703,-2.79489673442439e-11,-2.7645481834517987e-11,5.6624053100060285e-11
4.704,2.807286614578505e-11,2.7521659672566216e-11,5.705790744140273e-11
4.705,-2.7948967389174516e-11,-2.7645481600164562e-11,5.662405483478376e-11
4.706,2.8072866150406044e-11,2.752165966354134e-11,5.705790744140273e-11
4.707,-2.7948967351660556e-11,-2.7645481844086968e-11,5.6624053100060285e-11
4.708,2.80728662804963e-11,2.752165956792818e-11,5.705790921775957e-11
4.709,-2.7948967380187457e-11,-2.7645481743046158e-11,5.66240566111406e-11
4.71,2.8072866334082946e-11,2.7521659651219166e-11,5.705790744140273e-11
4.711,-2.7948967434175467e-11,-2.7645481790400103e-11,5.6624053100060285e-11
4.712,2.807286616335827e-11,2.752165956628571e-11,5.705790921775957e-11
4.713,-2.7948967326647675e-11,-2.7645481612262622e-11,5.662405483478376e-11
4.714,2.8072866336702653e-11,2.7521659460854017e-11,5.7057909176126207e-11
4.715,-2.7948967206586726e-11,-2.7645481590382195e-11,5.6624053100060285e-11
4.716,2.807286607105024e-11,2.7521659564602034e-11,5.705791091084968e-11
4.7170000000000005,-2.7948967260799445e-11,-2.7645481807518243e-11,5.662405314169365e-11
4.718,2.8072866065637428e-11,2.7521659588908685e-11,5.705791091084968e-11
4.719,-2.7948967203462878e-11,-2.7645481712340257e-11,5.6624053100060285e-11
4.72,2.807286605373081e-11,2.7521659632419367e-11,5.705790913449284e-11
4.722,-2.79489673140348e-11,-2.764548179878823e-11,5.6624053100060285e-11
4.723,2.807286615668494e-11,2.752165963178634e-11,5.705790744140273e-11
4.723,-2.794896733896473e-11,-2.764548179334541e-11,5.6624053100060285e-11
4.724,2.807286625594072e-11,2.7521659717433165e-11,5.705790744140273e-11
4.724,-2.7948967326732693e-11,-2.7645481735225708e-11,5.6624053100060285e-11
4.726,2.807286615490172e-11,2.7521659656903603e-11,5.705790921775957e-11
4.728,-2.7948967290179246e-11,-2.7645481759682518e-11,5.6624049547346606e-11
4.729,2.8072866026649976e-11,2.7521659688328944e-11,5.705791091084968e-11
4.729,-2.7948967195527553e-11,-2.7645481826304497e-11,5.662405314169365e-11
4.729,2.8072866097346983e-11,2.7521659444383016e-11,5.705791091084968e-11
4.734,-2.794896727580905e-11,-2.764548168304744e-11,5.6624053100060285e-11
4.734,2.8072866118215845e-11,2.752165967467744e-11,5.705790744140273e-11
4.734,-2.7948967089695222e-11,-2.7645481857951833e-11,5.662405305842692e-11
4.734,2.8072866212176687e-11,2.7521659613156916e-11,5.7057910952483046e-11
4.735,-2.794896729424732e-11,-2.7645481792217858e-11,5.662405314169365e-11
4.736,2.8072866077140847e-11,2.7521659674090374e-11,5.705790913449284e-11
4.737,-2.7948967198068937e-11,-2.764548181788853e-11,5.662405483478376e-11
4.738,2.8072866078394285e-11,2.7521659609152586e-11,5.7057909176126207e-11
4.74,-2.7948967190831158e-11,-2.764548180139995e-11,5.6624054876417125e-11
4.741,2.807286597113225e-11,2.7521659653530955e-11,5.7057909176126207e-11
4.741,-2.7948967143708333e-11,-2.7645481761209623e-11,5.662405483478376e-11
4.741,2.8072866044385297e-11,2.7521659654657136e-11,5.7057909176126207e-11
4.746,-2.7948967154232655e-11,-2.7645481721305422e-11,5.6624053100060285e-11
4.746,2.8072866011101823e-11,2.75216595805204e-11,5.7057910952483046e-11
4.746,-2.7948967173081956e-11,-2.7645481758096735e-11,5.6624054876417125e-11
4.749,2.807286603655748e-11,2.7521659786167014e-11,5.7057909176126207e-11
4.749,-2.7948967291462643e-11,-2.764548194516676e-11,5.662405136533681e-11
4.749,2.8072866140400364e-11,2.752165958707462e-11,5.7057909176126207e-11
4.749,-2.794896722743571e-11,-2.764548168112034e-11,5.6624053100060285e-11
4.75,2.807286611336774e-11,2.7521659587662382e-11,5.705791091084968e-11
4.752,-2.79489672277641e-11,-2.76454818539991e-11,5.662405136533681e-11
4.752,2.8072866118889454e-11,2.7521659497594925e-11,5.705791091084968e-11
4.753,-2.7948967241764416e-11,-2.7645481751964044e-11,5.662405305842692e-11
4.754,2.8072866158803814e-11,2.752165981148665e-11,5.705790921775957e-11
4.755,-2.794896736981531e-11,-2.7645481842568393e-11,5.6624051323703445e-11
4.757,2.8072866103785627e-11,2.752165978882697e-11,5.7057907483036095e-11
4.757,-2.7948967272796666e-11,-2.7645481793447203e-11,5.6624053100060285e-11
4.758,2.8072866071660104e-11,2.7521659651830246e-11,5.705790913449284e-11
4.759,-2.794896723940284e-11,-2.7645481800400406e-11,5.662405483478376e-11
4.761,2.8072866131970618e-11,2.752165973420893e-11,5.7057910952483046e-11
4.761,-2.79489672720369e-11,-2.7645481899849746e-11,5.662405314169365e-11
4.7620000000000005,2.807286608330766e-11,2.7521659734580128e-11,5.7057910952483046e-11
4.763,-2.794896711372394e-11,-2.7645481766429572e-11,5.6624053100060285e-11
4.764,2.8072866017584722e-11,2.7521659821373915e-11,5.7057909176126207e-11
